,SoS Name,VEST Name,County
13,Otter Creek Township,Otter Creek,Linn
14,Fairfax Township,Fairfax Township,Linn
15,Cedar Rapids 07,Cedar Rapids 07,Linn
16,Marion Township,Marion Township,Linn
17,Marion 02,Marion 02,Linn
18,Mount Vernon North,Mount Vernon North,Linn
19,Maine Township,Maine,Linn
20,Cedar Rapids 43,Cedar Rapids 43,Linn
21,Marion 04,Marion 04,Linn
22,Marion 12,Marion 12,Linn
23,Hiawatha 02,Hiawatha 2,Linn
24,Cedar Rapids 18,Cedar Rapids 18,Linn
25,Cedar Rapids 40,Cedar Rapids 40,Linn
26,Cedar Rapids 09,Cedar Rapids 09,Linn
27,Marion 01,Marion 01,Linn
28,Brown Township,Brown,Linn
29,Cedar Rapids 23,Cedar Rapids 23,Linn
30,Cedar Rapids 15,Cedar Rapids 15,Linn
31,Cedar Rapids 17,Cedar Rapids 17,Linn
32,Cedar Rapids 08,Cedar Rapids 08,Linn
33,Cedar Rapids 27,Cedar Rapids 27,Linn
34,Cedar Rapids 35,Cedar Rapids 35,Linn
35,Cedar Rapids 02,Cedar Rapids 02,Linn
36,Marion 10,Marion 10,Linn
37,Cedar Rapids 38,Cedar Rapids 38,Linn
38,Cedar Rapids 32,Cedar Rapids 32,Linn
39,Monroe Township 02,Monroe 2,Linn
40,Monroe Township 01,Monroe 1,Linn
41,Cedar Rapids 34,Cedar Rapids 34,Linn
42,Marion 03,Marion 03,Linn
43,Cedar Rapids 42,Cedar Rapids 42,Linn
44,Cedar Rapids 33,Cedar Rapids 33,Linn
45,Cedar Rapids 03,Cedar Rapids 03,Linn
46,Cedar Rapids 29,Cedar Rapids 29,Linn
47,Cedar Rapids 04,Cedar Rapids 04,Linn
48,Mount Vernon South,Mount Vernon South,Linn
49,Cedar Rapids 16,Cedar Rapids 16,Linn
50,Cedar Rapids 14,Cedar Rapids 14,Linn
51,Cedar Rapids 13,Cedar Rapids 13,Linn
52,Cedar Rapids 21,Cedar Rapids 21,Linn
53,Fairfax,Fairfax City,Linn
54,Cedar Rapids 01,Cedar Rapids 01,Linn
55,Marion 14,Marion 14,Linn
56,Marion 09,Marion 09,Linn
57,Cedar Rapids 06,Cedar Rapids 06,Linn
58,Cedar Rapids 05,Cedar Rapids 05,Linn
59,Putnam Township,Putnam,Linn
60,Marion 08,Marion 08,Linn
61,Cedar Rapids 37,Cedar Rapids 37,Linn
62,Cedar Rapids 30,Cedar Rapids 30,Linn
63,Franklin Township,Franklin,Linn
64,Cedar Rapids 28,Cedar Rapids 28,Linn
65,Marion 13,Marion 13,Linn
66,Cedar Rapids 19,Cedar Rapids 19,Linn
67,Hiawatha 01,Hiawatha 1,Linn
68,Cedar Rapids 36,Cedar Rapids 36,Linn
69,Marion 07,Marion 07,Linn
70,Washington Township,Washington,Linn
71,Cedar Rapids 10,Cedar Rapids 10,Linn
72,Cedar Rapids 41,Cedar Rapids 41,Linn
73,Cedar Rapids 24,Cedar Rapids 24,Linn
74,Cedar Rapids 20,Cedar Rapids 20,Linn
75,Cedar Rapids 39,Cedar Rapids 39,Linn
76,Cedar Rapids 26,Cedar Rapids 26,Linn
77,Marion 06,Marion 06,Linn
78,Cedar Rapids 11,Cedar Rapids 11,Linn
79,Marion 11,Marion 11,Linn
80,Cedar Rapids 31,Cedar Rapids 31,Linn
81,Cedar Rapids 12,Cedar Rapids 12,Linn
82,Robins,Robins,Linn
83,Bertram Township,Bertram,Linn
84,Marion 05,Marion 05,Linn
85,Cedar Rapids 25,Cedar Rapids 25,Linn
0,West Des Moines,West Des Moines 224,Dallas
1,De Soto,De Soto,Dallas
2,Spring Valley/Dallas,Spring Valley/Dallas,Dallas
3,Lincoln,Lincoln/Washington/Linn,Dallas
4,West Des Moines 322,West Des Moines 322,Dallas
5,Colfax/Adel,Colfax/Adel,Dallas
6,Perry 3,Perry 3,Dallas
7,Perry 2,Perry 2,Dallas
8,Adams,Adams Precinct,Dallas
9,Adel 1,Adel 1 Precinct,Dallas
10,Perry 1,Perry 1,Dallas
11,West Des Moines 226,West Des Moines 226,Dallas
12,Union,Union,Dallas
13,Beaver/Des Moines,Beaver/Des Moines,Dallas
14,West Des Moines 223,West Des Moines 223,Dallas
15,Walnut/Grimes/Grant,Walnut/Grimes/Grant,Dallas
16,Sugar Grove/Dallas Center,Sugar Grove/Dallas Center,Dallas
17,Urbandale 15,Urbandale 15,Dallas
18,West Des Moines 222,West Des Moines 222,Dallas
19,West Des Moines 321,West Des Moines 321,Dallas
20,Waukee 6,Waukee 6,Dallas
21,Clive 5,Clive 5 Precinct,Dallas
22,Waukee 5,Waukee 5,Dallas
23,Van Meter,Van Meter,Dallas
24,Waukee 4,Waukee 4,Dallas
25,Adel 2,Adel 2 Precinct,Dallas
26,Waukee 1,Waukee 1,Dallas
27,Waukee 2,Waukee 2,Dallas
28,West Des Moines 225,West Des Moines 225,Dallas
29,Urbandale 14,Urbandale 14,Dallas
30,Waukee 3,Waukee 3,Dallas
31,Clive 6,Clive 6 Precinct,Dallas
32,West Des Moines 221,West Des Moines 221,Dallas
33,Urbandale 13,Urbandale 13,Dallas
0,Spring Creek,Black Hawk County Spring Creek Precinct,Black Hawk
1,Bennington,Black Hawk County Bennington Precinct,Black Hawk
2,Eagle,Black Hawk County Eagle Precinct,Black Hawk
3,WL W5 P1,Waterloo ward 5 precinct 1,Black Hawk
4,Washington Janesville,Black Hawk County Washington Precinct,Black Hawk
5,WL W4 P3,Waterloo ward 4 precinct 3,Black Hawk
6,Evansdale W3,Evansdale 3,Black Hawk
7,Evansdale W2,Evansdale 2,Black Hawk
8,Evansdale W1,Evansdale 1,Black Hawk
9,CF W2 P1,Cedar Falls ward 2 precinct 1,Black Hawk
10,WL W4 P6,Waterloo ward 4 precinct 6,Black Hawk
11,WL W4 P2,Waterloo ward 4 precinct 2,Black Hawk
12,WL W3 P3,Waterloo ward 3 precinct 3,Black Hawk
13,Poyner P1 East Wloo,Black Hawk County Poyner 1/ East Waterloo,Black Hawk
14,WL W3 P4,Waterloo ward 3 precinct 4,Black Hawk
15,WL W3 P6,Waterloo ward 3 precinct 6,Black Hawk
16,Evansdale W4,Evansdale 4,Black Hawk
17,Mt Vernon,Black Hawk County Mount Vernon Precinct,Black Hawk
18,Union,Black Hawk County Union Precinct,Black Hawk
19,WL W4 P4,Waterloo ward 4 precinct 4,Black Hawk
20,WL W2 P2,Waterloo ward 2 precinct 2,Black Hawk
21,WL W4 P1,Waterloo ward 4 precinct 1,Black Hawk
22,WL W5 P3,Waterloo ward 5 precinct 3,Black Hawk
23,WL W2 P1,Waterloo ward 2 precinct 1,Black Hawk
24,WL W4 P5,Waterloo ward 4 precinct 5,Black Hawk
25,WL W1 P3,Waterloo ward 1 precinct 3,Black Hawk
26,WL W3 P2,Waterloo ward 3 precinct 2,Black Hawk
27,WL W5 P2,Waterloo ward 5 precinct 2,Black Hawk
28,CF W4 P3,Cedar Falls ward 4 precinct 3,Black Hawk
29,WL W3 P1,Waterloo ward 3 precinct 1,Black Hawk
30,CF W4 P2,Cedar Falls ward 4 precinct 2,Black Hawk
31,Elk Run Heights/Raymond,Black Hawk County Elk Run Heights/ Raymond,Black Hawk
32,CF W3 P3,Cedar Falls ward 3 precinct 3,Black Hawk
33,Barclay Lester Dunkerton,Black Hawk County Barclay/ Lester Precinct,Black Hawk
34,CF W1 P1,Cedar Falls ward 1 precinct 1,Black Hawk
35,Poyner P2 Gilb Fox Jesup,Black Hawk Poyner 2/ Fox Precinct,Black Hawk
36,WL W2 P3,Waterloo ward 2 precinct 3,Black Hawk
37,WL W1 P5,Waterloo ward 1 precinct 5,Black Hawk
38,WL W5 P6,Waterloo ward 5 precinct 6,Black Hawk
39,Cedar Orange,Black Hawk County Cedar/ Orange Precinct,Black Hawk
40,WL W5 P4,Waterloo ward 5 precinct 4,Black Hawk
41,WL W1 P2,Waterloo ward 1 precinct 2,Black Hawk
42,WL W1 P4,Waterloo ward 1 precinct 4,Black Hawk
43,WL W3 P5,Waterloo ward 3 precinct 5,Black Hawk
44,WL W2 P5,Waterloo ward 2 precinct 5,Black Hawk
45,WL W2 P6,Waterloo ward 2 precinct 6,Black Hawk
46,Big Creek La Porte City,Black Hawk County Big Creek Precinct,Black Hawk
47,WL W1 P1,Waterloo ward 1 precinct 1,Black Hawk
48,WL W5 P5,Waterloo ward 5 precinct 5,Black Hawk
49,CF W3 P1,Cedar Falls ward 3 precinct 1,Black Hawk
50,CF W5 P2,Cedar Falls ward 5 precinct 2,Black Hawk
51,CF W5 P1,Cedar Falls ward 5 precinct 1,Black Hawk
52,CF W1 P3,Cedar Falls ward 1 precinct 3,Black Hawk
53,WL W2 P4,Waterloo ward 2 precinct 4,Black Hawk
54,CF W5 P3,Cedar Falls ward 5 precinct 3,Black Hawk
55,CF W4 P1,Cedar Falls ward 4 precinct 1,Black Hawk
56,WL W1 P6,Waterloo ward 1 precinct 6,Black Hawk
57,CF W1 P2,Cedar Falls ward 1 precinct 2,Black Hawk
58,Black Hawk Hudson Lincoln,Black Hawk County Black Hawk Precinct,Black Hawk
59,CF W2 P2,Cedar Falls ward 2 precinct 2/CF Twp,Black Hawk
60,CF W3 P2,Cedar Falls ward 3 precinct 2,Black Hawk
61,CF W2 P3,Cedar Falls ward 2 precinct 3,Black Hawk
